dataset,test_name,network_profile,mode,seed,selection_strategy,quality_band,pareto_parent_prob,parent_score_band,parent_top_k,reflection_mode,reflection_model,reflection_max_tokens,reflection_children,reflection_example_limit,prompt_protocol_version,selection_policy,run_manifest_hash,controller_calls,controller_total_tokens,controller_cost_usd,split,selected_rank,operating_point,candidate_id,candidate_name,topology,score,correct,num_examples,avg_calls,avg_total_tokens,avg_prompt_tokens,avg_completion_tokens,avg_inference_cost_usd,avg_requested_max_tokens,avg_cross_center_tokens,avg_cross_center_message_tokens,avg_cross_center_model_tokens,avg_network_latency_ms,avg_message_latency_ms,avg_message_expected_retry_latency_ms,avg_model_rpc_latency_ms,avg_model_rpc_expected_retry_latency_ms,avg_expected_retry_latency_ms,avg_observed_model_latency_ms,avg_site_compute_latency_ms,avg_expected_network_failures,avg_emulated_latency_ms,is_valid_candidate,valid_execution_rate,valid_answer_rate,error_example_rate,protocol_error_rate,truncated_unextractable_rate,invalid_reasons
hotpotqa,distractor_provided_context,lan_homogeneous,wan_pareto,0,quality_band_cost,0.05,0.5,0.05,6,llm,qwen35_9b,4096,3,3,,protocol_q_e.delta=0.05,f4adc2ea0b7dbc0a7ab1ab31edabd3f3f2fa62a5bd831ade778d1d91633cf8c5,6,15176,0.0,search,,,a0711933a84a,single_local,single,0.8416666666666666,6,8,1.0,1588.875,1581.125,7.75,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3868.181973695755,0.0,0.0,3868.181973695755,True,1.0,1.0,0.0,0.0,0.0,
hotpotqa,distractor_provided_context,lan_homogeneous,wan_pareto,0,quality_band_cost,0.05,0.5,0.05,6,llm,qwen35_9b,4096,3,3,,protocol_q_e.delta=0.05,f4adc2ea0b7dbc0a7ab1ab31edabd3f3f2fa62a5bd831ade778d1d91633cf8c5,6,15176,0.0,search,,,a0711933a84a,single_strong_remote,single,0.8416666666666666,6,8,1.0,1588.875,1581.125,7.75,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3476.40922665596,0.0,0.0,3476.40922665596,True,1.0,1.0,0.0,0.0,0.0,
hotpotqa,distractor_provided_context,lan_homogeneous,wan_pareto,0,quality_band_cost,0.05,0.5,0.05,6,llm,qwen35_9b,4096,3,3,,protocol_q_e.delta=0.05,f4adc2ea0b7dbc0a7ab1ab31edabd3f3f2fa62a5bd831ade778d1d91633cf8c5,6,15176,0.0,search,,,b42836deb980,self_consistency_local,self_consistency,0.8416666666666666,6,8,3.0,4832.5,4809.375,23.125,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11285.309374332428,0.0,0.0,11285.309374332428,True,1.0,1.0,0.0,0.0,0.0,
hotpotqa,distractor_provided_context,lan_homogeneous,wan_pareto,0,quality_band_cost,0.05,0.5,0.05,6,llm,qwen35_9b,4096,3,3,,protocol_q_e.delta=0.05,f4adc2ea0b7dbc0a7ab1ab31edabd3f3f2fa62a5bd831ade778d1d91633cf8c5,6,15176,0.0,search,,,3bd0950ce26b,solver_verifier_local,solver_verifier,0.7166666666666666,5,8,2.0,3304.5,3238.0,66.5,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10571.602195501328,0.0,0.0,10571.602195501328,False,1.0,0.875,0.0,0.125,0.125,protocol_error_rate>0.01:0.125000|truncated_unextractable_rate>0.05:0.125000
hotpotqa,distractor_provided_context,lan_homogeneous,wan_pareto,0,quality_band_cost,0.05,0.5,0.05,6,llm,qwen35_9b,4096,3,3,,protocol_q_e.delta=0.05,f4adc2ea0b7dbc0a7ab1ab31edabd3f3f2fa62a5bd831ade778d1d91633cf8c5,6,15176,0.0,search,,,45c0167f778d,single_local_mut_max_tokens_5306,single,0.8416666666666666,6,8,1.0,1588.875,1581.125,7.75,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3430.7162761688232,0.0,0.0,3430.7162761688232,True,1.0,1.0,0.0,0.0,0.0,
hotpotqa,distractor_provided_context,lan_homogeneous,wan_pareto,0,quality_band_cost,0.05,0.5,0.05,6,llm,qwen35_9b,4096,3,3,,protocol_q_e.delta=0.05,f4adc2ea0b7dbc0a7ab1ab31edabd3f3f2fa62a5bd831ade778d1d91633cf8c5,6,15176,0.0,search,,,1b095518dd38,single_local_mut_topology_36941,solver_verifier,0.7166666666666666,5,8,2.0,3298.375,3251.75,46.625,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9155.325204133987,0.0,0.0,9155.325204133987,False,1.0,0.875,0.0,0.125,0.125,protocol_error_rate>0.01:0.125000|truncated_unextractable_rate>0.05:0.125000
hotpotqa,distractor_provided_context,lan_homogeneous,wan_pareto,0,quality_band_cost,0.05,0.5,0.05,6,llm,qwen35_9b,4096,3,3,,protocol_q_e.delta=0.05,f4adc2ea0b7dbc0a7ab1ab31edabd3f3f2fa62a5bd831ade778d1d91633cf8c5,6,15176,0.0,search,,,411b2847c350,single_local_mut_max_tokens_5306_mut_topology_58024,solver_verifier,0.7166666666666666,5,8,2.0,3290.625,3244.0,46.625,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9238.69502544403,0.0,0.0,9238.69502544403,False,1.0,0.875,0.0,0.125,0.125,protocol_error_rate>0.01:0.125000|truncated_unextractable_rate>0.05:0.125000
hotpotqa,distractor_provided_context,lan_homogeneous,wan_pareto,0,quality_band_cost,0.05,0.5,0.05,6,llm,qwen35_9b,4096,3,3,,protocol_q_e.delta=0.05,f4adc2ea0b7dbc0a7ab1ab31edabd3f3f2fa62a5bd831ade778d1d91633cf8c5,6,15176,0.0,selection,,,45c0167f778d,single_local_mut_max_tokens_5306,single,0.7083333333333333,5,8,1.0,1484.5,1474.125,10.375,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3850.136309862137,0.0,0.0,3850.136309862137,True,1.0,1.0,0.0,0.0,0.0,
hotpotqa,distractor_provided_context,lan_homogeneous,wan_pareto,0,quality_band_cost,0.05,0.5,0.05,6,llm,qwen35_9b,4096,3,3,,protocol_q_e.delta=0.05,f4adc2ea0b7dbc0a7ab1ab31edabd3f3f2fa62a5bd831ade778d1d91633cf8c5,6,15176,0.0,selection,,,a0711933a84a,single_strong_remote,single,0.7083333333333333,5,8,1.0,1484.5,1474.125,10.375,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3588.4451866149902,0.0,0.0,3588.4451866149902,True,1.0,1.0,0.0,0.0,0.0,
hotpotqa,distractor_provided_context,lan_homogeneous,wan_pareto,0,quality_band_cost,0.05,0.5,0.05,6,llm,qwen35_9b,4096,3,3,,protocol_q_e.delta=0.05,f4adc2ea0b7dbc0a7ab1ab31edabd3f3f2fa62a5bd831ade778d1d91633cf8c5,6,15176,0.0,selection,,,a0711933a84a,single_local,single,0.7083333333333333,5,8,1.0,1484.5,1474.125,10.375,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3573.211222887039,0.0,0.0,3573.211222887039,True,1.0,1.0,0.0,0.0,0.0,
